AWAYTEAM,HR,FTAG,HTR,HTHG,HOMETEAM,HY,FTR,HTAG,DATE,FTHG,AR,DIV,AY
Sunderland,0.0,0,D,0,Blackburn,1.0,D,0,17/08/2002,0,0.0,E0,2.0
Chelsea,1.0,3,H,2,Charlton,0.0,A,1,17/08/2002,2,0.0,E0,3.0
Tottenham,0.0,2,H,1,Everton,1.0,D,0,17/08/2002,2,0.0,E0,1.0
Bolton,0.0,1,H,3,Fulham,1.0,H,1,17/08/2002,4,0.0,E0,2.0
Man City,0.0,0,H,2,Leeds,1.0,H,0,17/08/2002,3,0.0,E0,1.0
West Brom,0.0,0,D,0,Man United,1.0,H,0,17/08/2002,1,1.0,E0,1.0
Middlesbrough,0.0,0,D,0,Southampton,0.0,D,0,17/08/2002,0,0.0,E0,0.0
Birmingham,0.0,0,H,2,Arsenal,0.0,H,0,18/08/2002,2,1.0,E0,1.0
Liverpool,0.0,1,D,0,Aston Villa,2.0,A,0,18/08/2002,0,0.0,E0,2.0
West Ham,0.0,0,D,0,Newcastle,1.0,H,0,19/08/2002,4,0.0,E0,2.0
Man United,0.0,2,H,2,Chelsea,3.0,D,1,23/08/2002,2,0.0,E0,2.0
Blackburn,0.0,1,A,0,Birmingham,1.0,A,1,24/08/2002,0,0.0,E0,2.0
Charlton,0.0,2,D,1,Bolton,1.0,A,1,24/08/2002,1,0.0,E0,1.0
Southampton,0.0,0,H,1,Liverpool,0.0,H,0,24/08/2002,3,0.0,E0,1.0
Newcastle,0.0,0,H,1,Man City,1.0,H,0,24/08/2002,1,0.0,E0,1.0
Fulham,0.0,2,H,1,Middlesbrough,4.0,D,0,24/08/2002,2,0.0,E0,2.0
Everton,0.0,1,A,0,Sunderland,1.0,A,1,24/08/2002,0,0.0,E0,0.0
Aston Villa,0.0,0,H,1,Tottenham,2.0,H,0,24/08/2002,1,0.0,E0,0.0
Leeds,0.0,3,A,0,West Brom,1.0,A,1,24/08/2002,1,0.0,E0,1.0
Arsenal,0.0,2,H,1,West Ham,2.0,D,0,24/08/2002,2,0.0,E0,5.0
West Brom,0.0,2,H,3,Arsenal,3.0,H,0,27/08/2002,5,0.0,E0,2.0
Tottenham,0.0,1,A,0,Charlton,1.0,A,1,27/08/2002,0,0.0,E0,2.0
Man City,0.0,0,D,0,Aston Villa,1.0,H,0,28/08/2002,1,0.0,E0,3.0
Liverpool,0.0,2,D,1,Blackburn,3.0,D,1,28/08/2002,2,0.0,E0,1.0
Birmingham,1.0,1,D,0,Everton,0.0,D,0,28/08/2002,1,0.0,E0,3.0
Sunderland,0.0,1,D,0,Leeds,2.0,A,0,28/08/2002,0,0.0,E0,0.0
Chelsea,0.0,1,D,0,Southampton,2.0,D,0,28/08/2002,1,0.0,E0,1.0
Leeds,0.0,1,H,1,Birmingham,3.0,H,0,31/08/2002,2,0.0,E0,3.0
Everton,1.0,1,H,2,Man City,1.0,H,1,31/08/2002,3,0.0,E0,0.0
Blackburn,0.0,0,D,0,Middlesbrough,3.0,H,0,31/08/2002,1,0.0,E0,3.0
Man United,0.0,1,A,0,Sunderland,1.0,D,1,31/08/2002,1,1.0,E0,2.0
Southampton,0.0,1,D,1,Tottenham,3.0,H,1,31/08/2002,2,1.0,E0,1.0
Fulham,0.0,0,D,0,West Brom,4.0,H,0,31/08/2002,1,0.0,E0,3.0
Charlton,0.0,2,A,0,West Ham,3.0,A,2,31/08/2002,0,0.0,E0,1.0
Aston Villa,0.0,0,D,0,Bolton,2.0,H,0,01/09/2002,1,0.0,E0,3.0
Arsenal,0.0,1,H,1,Chelsea,5.0,D,0,01/09/2002,1,1.0,E0,2.0
Newcastle,0.0,2,D,0,Liverpool,1.0,D,0,02/09/2002,2,0.0,E0,2.0
Middlesbrough,0.0,0,H,1,Man United,1.0,H,0,03/09/2002,1,0.0,E0,2.0
Man City,0.0,1,H,2,Arsenal,1.0,H,1,10/09/2002,2,1.0,E0,2.0
Sunderland,0.0,0,H,2,Middlesbrough,3.0,H,0,10/09/2002,3,0.0,E0,3.0
Charlton,0.0,0,D,0,Aston Villa,0.0,H,0,11/09/2002,2,0.0,E0,1.0
Chelsea,0.0,3,H,2,Blackburn,2.0,A,1,11/09/2002,2,0.0,E0,3.0
Tottenham,0.0,2,A,0,Fulham,0.0,H,2,11/09/2002,3,0.0,E0,1.0
Birmingham,0.0,2,H,1,Liverpool,0.0,D,0,11/09/2002,2,0.0,E0,1.0
Bolton,0.0,1,D,0,Man United,1.0,A,0,11/09/2002,0,0.0,E0,2.0
Leeds,0.0,2,A,0,Newcastle,3.0,A,1,11/09/2002,0,0.0,E0,2.0
Everton,0.0,0,D,0,Southampton,3.0,H,0,11/09/2002,1,0.0,E0,3.0
West Brom,0.0,1,A,0,West Ham,1.0,A,1,11/09/2002,0,0.0,E0,0.0
Liverpool,0.0,3,A,0,Bolton,2.0,A,1,14/09/2002,2,0.0,E0,2.0
Arsenal,0.0,3,A,0,Charlton,0.0,A,1,14/09/2002,0,0.0,E0,3.0
Newcastle,0.0,0,H,2,Chelsea,1.0,H,0,14/09/2002,3,0.0,E0,4.0
Middlesbrough,0.0,1,D,1,Everton,2.0,H,1,14/09/2002,2,0.0,E0,1.0
Man United,0.0,0,D,0,Leeds,2.0,H,0,14/09/2002,1,0.0,E0,1.0
Fulham,0.0,3,A,0,Sunderland,2.0,A,1,14/09/2002,0,0.0,E0,2.0
Southampton,0.0,0,D,0,West Brom,2.0,H,0,14/09/2002,1,1.0,E0,1.0
Blackburn,1.0,2,A,0,Man City,3.0,D,1,15/09/2002,2,0.0,E0,3.0
West Ham,0.0,2,D,0,Tottenham,2.0,H,0,15/09/2002,3,1.0,E0,2.0
Aston Villa,0.0,0,H,1,Birmingham,3.0,H,0,16/09/2002,3,0.0,E0,2.0
Bolton,0.0,1,H,1,Arsenal,1.0,H,0,21/09/2002,2,1.0,E0,3.0
West Brom,0.0,0,D,0,Liverpool,2.0,H,0,21/09/2002,2,1.0,E0,2.0
Tottenham,0.0,0,D,0,Man United,1.0,H,0,21/09/2002,1,0.0,E0,1.0
Birmingham,0.0,0,H,1,Middlesbrough,3.0,H,0,21/09/2002,1,0.0,E0,4.0
Sunderland,0.0,0,H,2,Newcastle,2.0,H,0,21/09/2002,2,0.0,E0,4.0
Charlton,0.0,0,D,0,Southampton,2.0,D,0,21/09/2002,0,0.0,E0,1.0
Man City,0.0,0,D,0,West Ham,2.0,D,0,21/09/2002,0,0.0,E0,0.0
Everton,0.0,2,H,1,Aston Villa,0.0,H,0,22/09/2002,3,0.0,E0,1.0
Leeds,0.0,0,H,1,Blackburn,1.0,H,0,22/09/2002,1,0.0,E0,2.0
Chelsea,0.0,0,D,0,Fulham,1.0,D,0,23/09/2002,0,0.0,E0,0.0
Newcastle,0.0,2,A,0,Birmingham,3.0,A,1,28/09/2002,0,0.0,E0,0.0
Southampton,0.0,1,D,0,Bolton,1.0,D,0,28/09/2002,1,0.0,E0,0.0
Man United,0.0,3,H,1,Charlton,2.0,A,0,28/09/2002,1,0.0,E0,3.0
West Ham,0.0,3,D,1,Chelsea,1.0,A,1,28/09/2002,2,0.0,E0,4.0
Fulham,0.0,0,H,2,Everton,1.0,H,0,28/09/2002,2,0.0,E0,3.0
Arsenal,0.0,4,A,0,Leeds,4.0,A,2,28/09/2002,1,0.0,E0,2.0
Liverpool,0.0,3,A,0,Man City,0.0,A,1,28/09/2002,0,0.0,E0,0.0
Aston Villa,0.0,0,D,0,Sunderland,3.0,H,0,28/09/2002,1,0.0,E0,3.0
Middlesbrough,0.0,3,A,0,Tottenham,1.0,A,1,28/09/2002,0,0.0,E0,1.0
Blackburn,0.0,2,D,0,West Brom,1.0,A,0,30/09/2002,0,0.0,E0,1.0
Bolton,0.0,0,H,1,Middlesbrough,0.0,H,0,05/10/2002,2,0.0,E0,3.0
West Brom,0.0,1,D,1,Newcastle,1.0,H,1,05/10/2002,2,0.0,E0,2.0
Man City,1.0,0,H,2,Southampton,2.0,H,0,05/10/2002,2,0.0,E0,2.0
Birmingham,0.0,2,A,1,West Ham,2.0,A,2,05/10/2002,1,0.0,E0,1.0
Sunderland,0.0,1,H,3,Arsenal,0.0,H,0,06/10/2002,3,0.0,E0,0.0
Leeds,0.0,0,D,0,Aston Villa,1.0,D,0,06/10/2002,0,0.0,E0,1.0
Tottenham,0.0,2,A,0,Blackburn,1.0,A,1,06/10/2002,1,0.0,E0,0.0
Charlton,0.0,0,H,1,Fulham,1.0,H,0,06/10/2002,1,0.0,E0,2.0
Chelsea,0.0,0,D,0,Liverpool,0.0,H,0,06/10/2002,1,0.0,E0,2.0
Everton,0.0,0,D,0,Man United,0.0,H,0,07/10/2002,3,1.0,E0,2.0
Newcastle,0.0,2,H,2,Blackburn,0.0,H,1,19/10/2002,5,1.0,E0,2.0
Arsenal,0.0,1,D,1,Everton,3.0,H,1,19/10/2002,2,0.0,E0,1.0
Man United,0.0,1,H,1,Fulham,1.0,D,0,19/10/2002,1,0.0,E0,3.0
Liverpool,0.0,1,D,0,Leeds,1.0,A,0,19/10/2002,0,0.0,E0,2.0
Chelsea,0.0,3,D,0,Man City,1.0,A,0,19/10/2002,0,0.0,E0,2.0
West Ham,0.0,1,A,0,Sunderland,1.0,A,1,19/10/2002,0,0.0,E0,1.0
Birmingham,0.0,1,D,0,West Brom,3.0,D,0,19/10/2002,1,1.0,E0,2.0
Middlesbrough,0.0,0,H,1,Charlton,1.0,H,0,20/10/2002,1,0.0,E0,3.0
Bolton,0.0,1,D,0,Tottenham,0.0,H,0,20/10/2002,3,0.0,E0,1.0
Southampton,1.0,1,D,0,Aston Villa,3.0,A,0,21/10/2002,0,0.0,E0,1.0
West Ham,1.0,1,D,0,Fulham,2.0,A,0,23/10/2002,0,0.0,E0,3.0
Blackburn,0.0,2,D,1,Arsenal,1.0,A,1,26/10/2002,1,1.0,E0,3.0
Man City,0.0,2,A,0,Birmingham,2.0,A,1,26/10/2002,0,0.0,E0,2.0
West Brom,0.0,0,H,1,Chelsea,0.0,H,0,26/10/2002,2,0.0,E0,1.0
Tottenham,0.0,1,D,0,Liverpool,2.0,H,0,26/10/2002,2,0.0,E0,4.0
Aston Villa,0.0,1,A,0,Man United,1.0,D,1,26/10/2002,1,0.0,E0,0.0
Leeds,1.0,2,D,1,Middlesbrough,3.0,D,1,26/10/2002,2,1.0,E0,2.0
Charlton,0.0,1,D,1,Newcastle,2.0,H,1,26/10/2002,2,0.0,E0,1.0
Fulham,0.0,2,D,2,Southampton,1.0,H,2,27/10/2002,4,0.0,E0,2.0
Everton,0.0,1,D,0,West Ham,0.0,A,0,27/10/2002,0,0.0,E0,0.0
Sunderland,0.0,1,A,0,Bolton,1.0,D,1,28/10/2002,1,0.0,E0,2.0
Bolton,0.0,1,D,0,Birmingham,2.0,H,0,02/11/2002,3,1.0,E0,4.0
West Ham,0.0,0,H,1,Liverpool,0.0,H,0,02/11/2002,2,0.0,E0,0.0
Southampton,0.0,1,D,1,Man United,0.0,H,1,02/11/2002,2,0.0,E0,1.0
Man City,0.0,2,D,0,West Brom,2.0,A,0,02/11/2002,1,0.0,E0,2.0
Aston Villa,0.0,0,D,0,Blackburn,1.0,D,0,03/11/2002,0,0.0,E0,2.0
Sunderland,0.0,1,A,0,Charlton,1.0,D,1,03/11/2002,1,0.0,E0,4.0
Arsenal,0.0,1,A,0,Fulham,1.0,A,1,03/11/2002,0,0.0,E0,2.0
Everton,0.0,1,D,0,Leeds,3.0,A,0,03/11/2002,0,0.0,E0,3.0
Chelsea,0.0,0,D,0,Tottenham,3.0,D,0,03/11/2002,0,0.0,E0,2.0
Middlesbrough,0.0,0,H,1,Newcastle,2.0,H,0,04/11/2002,2,1.0,E0,2.0
Newcastle,0.0,0,H,1,Arsenal,0.0,H,0,09/11/2002,1,0.0,E0,2.0
Fulham,0.0,1,H,1,Aston Villa,3.0,H,0,09/11/2002,3,0.0,E0,2.0
West Brom,1.0,1,A,0,Bolton,2.0,D,1,09/11/2002,1,0.0,E0,2.0
Birmingham,0.0,0,H,3,Chelsea,1.0,H,0,09/11/2002,3,0.0,E0,1.0
Charlton,0.0,0,H,1,Everton,2.0,H,0,09/11/2002,1,0.0,E0,3.0
Man United,0.0,1,H,2,Man City,1.0,H,1,09/11/2002,3,0.0,E0,2.0
Liverpool,0.0,0,D,0,Middlesbrough,1.0,H,0,09/11/2002,1,0.0,E0,0.0
Blackburn,0.0,1,H,1,Southampton,0.0,D,0,09/11/2002,1,1.0,E0,2.0
Tottenham,0.0,0,D,0,Sunderland,0.0,H,0,10/11/2002,2,0.0,E0,2.0
Leeds,0.0,4,A,1,West Ham,5.0,A,4,10/11/2002,3,0.0,E0,3.0
Tottenham,0.0,0,H,1,Arsenal,0.0,H,0,16/11/2002,3,1.0,E0,2.0
Middlesbrough,0.0,0,D,0,Chelsea,2.0,H,0,16/11/2002,1,0.0,E0,1.0
Charlton,0.0,1,D,0,Man City,0.0,A,0,16/11/2002,0,0.0,E0,4.0
Southampton,0.0,1,D,1,Newcastle,1.0,H,1,16/11/2002,2,0.0,E0,3.0
Aston Villa,0.0,0,D,0,West Brom,2.0,D,0,16/11/2002,0,0.0,E0,3.0
Fulham,0.0,0,D,0,Birmingham,2.0,D,0,17/11/2002,0,2.0,E0,1.0
Everton,0.0,1,A,0,Blackburn,3.0,A,1,17/11/2002,0,0.0,E0,1.0
Bolton,0.0,4,D,1,Leeds,2.0,A,1,17/11/2002,2,0.0,E0,0.0
Sunderland,0.0,0,D,0,Liverpool,0.0,D,0,17/11/2002,0,0.0,E0,1.0
Man United,0.0,1,A,0,West Ham,1.0,D,1,17/11/2002,1,0.0,E0,1.0
West Ham,0.0,1,H,1,Aston Villa,3.0,H,0,23/11/2002,4,0.0,E0,2.0
Chelsea,0.0,1,D,0,Bolton,2.0,D,0,23/11/2002,1,1.0,E0,4.0
West Brom,0.0,0,H,1,Everton,2.0,H,0,23/11/2002,1,0.0,E0,2.0
Liverpool,1.0,2,H,2,Fulham,1.0,H,0,23/11/2002,3,0.0,E0,0.0
Newcastle,0.0,3,H,3,Man United,2.0,H,1,23/11/2002,5,0.0,E0,2.0
Man City,0.0,1,D,0,Middlesbrough,0.0,H,0,23/11/2002,3,1.0,E0,3.0
Arsenal,0.0,2,D,1,Southampton,1.0,H,1,23/11/2002,3,1.0,E0,2.0
Birmingham,0.0,1,D,0,Sunderland,3.0,A,0,23/11/2002,0,0.0,E0,3.0
Blackburn,0.0,1,D,0,Charlton,2.0,H,0,24/11/2002,3,0.0,E0,0.0
Leeds,0.0,0,H,2,Tottenham,3.0,H,0,24/11/2002,2,0.0,E0,7.0
Aston Villa,0.0,1,H,1,Arsenal,2.0,H,0,30/11/2002,3,0.0,E0,3.0
Tottenham,0.0,1,D,0,Birmingham,1.0,D,0,30/11/2002,1,0.0,E0,0.0
Fulham,0.0,1,H,1,Blackburn,1.0,H,0,30/11/2002,2,0.0,E0,2.0
Sunderland,0.0,0,D,0,Chelsea,0.0,H,0,30/11/2002,3,0.0,E0,3.0
Bolton,0.0,0,H,1,Man City,0.0,H,0,30/11/2002,2,0.0,E0,2.0
Middlesbrough,0.0,0,D,0,West Brom,0.0,H,0,30/11/2002,1,0.0,E0,1.0
Charlton,0.0,2,H,1,Leeds,1.0,A,0,01/12/2002,1,0.0,E0,1.0
Man United,0.0,2,D,0,Liverpool,1.0,A,0,01/12/2002,1,0.0,E0,4.0
Everton,0.0,1,A,0,Newcastle,0.0,H,1,01/12/2002,2,1.0,E0,1.0
Southampton,0.0,1,D,0,West Ham,1.0,A,0,02/12/2002,0,0.0,E0,1.0
Newcastle,0.0,1,D,0,Aston Villa,2.0,A,0,07/12/2002,0,0.0,E0,0.0
Blackburn,0.0,1,H,1,Bolton,2.0,D,0,07/12/2002,1,0.0,E0,2.0
Liverpool,0.0,0,H,1,Charlton,3.0,H,0,07/12/2002,2,0.0,E0,3.0
Chelsea,1.0,3,A,1,Everton,1.0,A,2,07/12/2002,1,0.0,E0,6.0
Leeds,0.0,0,H,1,Fulham,3.0,H,0,07/12/2002,1,0.0,E0,4.0
Arsenal,0.0,0,H,1,Man United,1.0,H,0,07/12/2002,2,0.0,E0,2.0
West Ham,0.0,2,D,0,Middlesbrough,1.0,D,0,07/12/2002,2,0.0,E0,1.0
Birmingham,0.0,0,D,0,Southampton,0.0,H,0,07/12/2002,2,0.0,E0,2.0
West Brom,0.0,1,H,2,Tottenham,2.0,H,0,08/12/2002,3,0.0,E0,1.0
Man City,0.0,3,A,0,Sunderland,0.0,A,1,09/12/2002,0,0.0,E0,2.0
West Brom,1.0,1,D,1,Aston Villa,3.0,H,1,14/12/2002,2,0.0,E0,1.0
Man City,0.0,2,D,0,Charlton,2.0,D,0,14/12/2002,2,0.0,E0,1.0
Blackburn,0.0,1,H,2,Everton,1.0,H,1,14/12/2002,2,1.0,E0,2.0
West Ham,0.0,0,H,2,Man United,0.0,H,0,14/12/2002,3,0.0,E0,1.0
Chelsea,0.0,1,D,1,Middlesbrough,0.0,D,1,14/12/2002,1,0.0,E0,1.0
Newcastle,0.0,1,D,0,Southampton,0.0,D,0,14/12/2002,1,0.0,E0,0.0
Birmingham,0.0,1,A,0,Fulham,3.0,A,1,15/12/2002,0,1.0,E0,7.0
Liverpool,0.0,1,H,1,Sunderland,0.0,H,0,15/12/2002,2,0.0,E0,2.0
Arsenal,0.0,1,D,1,Tottenham,3.0,D,1,15/12/2002,1,0.0,E0,2.0
Leeds,0.0,3,A,0,Bolton,1.0,A,2,16/12/2002,0,0.0,E0,3.0
Middlesbrough,0.0,0,H,1,Arsenal,1.0,H,0,21/12/2002,2,1.0,E0,3.0
Charlton,1.0,1,A,0,Birmingham,4.0,D,1,21/12/2002,1,0.0,E0,4.0
Aston Villa,0.0,0,H,1,Chelsea,0.0,H,0,21/12/2002,2,0.0,E0,3.0
Southampton,0.0,1,D,0,Leeds,0.0,D,0,21/12/2002,1,0.0,E0,1.0
Fulham,0.0,0,H,1,Newcastle,0.0,H,0,21/12/2002,2,1.0,E0,2.0
Sunderland,0.0,2,H,2,West Brom,2.0,D,0,21/12/2002,2,0.0,E0,1.0
Bolton,0.0,1,H,1,West Ham,0.0,D,0,21/12/2002,1,0.0,E0,1.0
Man United,0.0,0,H,1,Blackburn,0.0,H,0,22/12/2002,1,0.0,E0,1.0
Everton,0.0,0,D,0,Liverpool,3.0,D,0,22/12/2002,0,0.0,E0,4.0
Tottenham,0.0,3,D,1,Man City,2.0,A,1,23/12/2002,2,1.0,E0,3.0
Everton,0.0,1,D,1,Birmingham,1.0,D,1,26/12/2002,1,1.0,E0,1.0
Newcastle,0.0,3,H,3,Bolton,1.0,H,1,26/12/2002,4,0.0,E0,2.0
Southampton,0.0,0,D,0,Chelsea,1.0,D,0,26/12/2002,0,0.0,E0,2.0
Blackburn,0.0,1,H,1,Liverpool,1.0,D,0,26/12/2002,1,0.0,E0,1.0
Aston Villa,0.0,1,D,1,Man City,0.0,H,1,26/12/2002,3,0.0,E0,1.0
Man United,0.0,1,H,1,Middlesbrough,1.0,H,0,26/12/2002,3,0.0,E0,1.0
Leeds,0.0,2,H,1,Sunderland,0.0,A,0,26/12/2002,1,0.0,E0,1.0
Charlton,1.0,2,A,0,Tottenham,2.0,D,1,26/12/2002,2,0.0,E0,1.0
Arsenal,0.0,2,H,1,West Brom,1.0,A,0,26/12/2002,1,0.0,E0,0.0
Fulham,1.0,1,D,0,West Ham,2.0,D,0,26/12/2002,1,0.0,E0,1.0
Middlesbrough,0.0,0,H,1,Aston Villa,3.0,H,0,28/12/2002,1,1.0,E0,2.0
West Ham,0.0,2,D,1,Blackburn,3.0,D,1,28/12/2002,2,0.0,E0,2.0
West Brom,0.0,0,H,1,Charlton,2.0,H,0,28/12/2002,1,0.0,E0,3.0
Bolton,0.0,0,D,0,Everton,1.0,D,0,28/12/2002,0,0.0,E0,4.0
Man City,0.0,1,D,0,Fulham,0.0,A,0,28/12/2002,0,0.0,E0,1.0
Chelsea,0.0,0,H,2,Leeds,2.0,H,0,28/12/2002,2,0.0,E0,0.0
Birmingham,0.0,0,H,1,Man United,1.0,H,0,28/12/2002,2,0.0,E0,2.0
Sunderland,0.0,1,D,0,Southampton,1.0,H,0,28/12/2002,2,0.0,E0,2.0
Liverpool,0.0,1,D,0,Arsenal,1.0,D,0,29/12/2002,1,0.0,E0,3.0
Tottenham,0.0,1,H,1,Newcastle,1.0,H,0,29/12/2002,2,0.0,E0,2.0
Chelsea,0.0,2,H,1,Arsenal,0.0,H,0,01/01/2003,3,0.0,E0,0.0
Bolton,0.0,0,H,1,Aston Villa,2.0,H,0,01/01/2003,2,0.0,E0,0.0
Middlesbrough,0.0,0,D,0,Blackburn,0.0,H,0,01/01/2003,1,0.0,E0,0.0
Man City,0.0,2,D,1,Everton,1.0,D,1,01/01/2003,2,0.0,E0,2.0
Birmingham,0.0,0,H,1,Leeds,1.0,H,0,01/01/2003,2,0.0,E0,2.0
Sunderland,0.0,1,A,0,Man United,2.0,H,1,01/01/2003,2,0.0,E0,1.0
Liverpool,0.0,0,H,1,Newcastle,1.0,H,0,01/01/2003,1,1.0,E0,3.0
Tottenham,0.0,0,D,0,Southampton,0.0,H,0,01/01/2003,1,0.0,E0,0.0
Fulham,0.0,0,D,0,Bolton,1.0,D,0,11/01/2003,0,0.0,E0,2.0
Charlton,0.0,1,H,3,Chelsea,4.0,H,1,11/01/2003,4,0.0,E0,3.0
Aston Villa,0.0,1,H,1,Liverpool,1.0,D,0,11/01/2003,1,0.0,E0,2.0
Leeds,0.0,1,H,1,Man City,0.0,H,0,11/01/2003,2,0.0,E0,4.0
Southampton,0.0,2,A,0,Middlesbrough,0.0,D,1,11/01/2003,2,0.0,E0,2.0
Blackburn,0.0,0,D,0,Sunderland,1.0,D,0,11/01/2003,0,0.0,E0,3.0
Man United,0.0,3,A,1,West Brom,0.0,A,2,11/01/2003,1,0.0,E0,1.0
Newcastle,0.0,2,H,2,West Ham,0.0,D,1,11/01/2003,2,0.0,E0,1.0
Arsenal,0.0,4,A,0,Birmingham,2.0,A,2,12/01/2003,0,0.0,E0,2.0
Everton,0.0,3,D,1,Tottenham,1.0,H,1,12/01/2003,4,0.0,E0,1.0
Tottenham,0.0,1,D,0,Aston Villa,1.0,A,0,18/01/2003,0,0.0,E0,3.0
Birmingham,1.0,1,H,1,Blackburn,2.0,D,0,18/01/2003,1,0.0,E0,3.0
Bolton,0.0,1,D,0,Charlton,0.0,D,0,18/01/2003,1,0.0,E0,0.0
Sunderland,0.0,1,A,0,Everton,2.0,H,1,18/01/2003,2,0.0,E0,3.0
West Brom,0.0,0,D,0,Leeds,1.0,D,0,18/01/2003,0,1.0,E0,1.0
Chelsea,0.0,1,D,1,Man United,0.0,H,1,18/01/2003,2,0.0,E0,0.0
Man City,0.0,0,H,1,Newcastle,0.0,H,0,18/01/2003,2,0.0,E0,1.0
Liverpool,0.0,1,A,0,Southampton,1.0,A,1,18/01/2003,0,0.0,E0,1.0
West Ham,0.0,1,D,1,Arsenal,3.0,H,1,19/01/2003,3,1.0,E0,1.0
Middlesbrough,0.0,0,H,1,Fulham,0.0,H,0,19/01/2003,1,0.0,E0,1.0
West Ham,0.0,2,H,2,Charlton,0.0,H,1,22/01/2003,4,0.0,E0,1.0
Bolton,0.0,0,H,1,Newcastle,1.0,H,0,22/01/2003,1,0.0,E0,2.0
Everton,0.0,2,A,0,Bolton,2.0,A,2,28/01/2003,1,0.0,E0,1.0
Leeds,0.0,2,A,0,Chelsea,2.0,H,1,28/01/2003,3,0.0,E0,1.0
Aston Villa,0.0,5,D,2,Middlesbrough,1.0,A,2,28/01/2003,2,0.0,E0,2.0
Southampton,0.0,1,D,0,Sunderland,1.0,A,0,28/01/2003,0,0.0,E0,0.0
Arsenal,0.0,2,A,0,Liverpool,1.0,D,1,29/01/2003,2,0.0,E0,1.0
Fulham,0.0,1,D,1,Man City,3.0,H,1,29/01/2003,4,0.0,E0,1.0
Newcastle,0.0,1,D,0,Tottenham,0.0,A,0,29/01/2003,0,0.0,E0,1.0
Charlton,0.0,1,D,0,West Brom,0.0,A,0,29/01/2003,0,0.0,E0,2.0
Blackburn,0.0,1,A,0,West Ham,1.0,H,1,29/01/2003,2,0.0,E0,1.0
Fulham,0.0,1,D,1,Arsenal,3.0,H,1,01/02/2003,2,0.0,E0,1.0
Birmingham,0.0,2,D,1,Bolton,2.0,H,1,01/02/2003,4,0.0,E0,2.0
Tottenham,0.0,1,D,1,Chelsea,1.0,D,1,01/02/2003,1,0.0,E0,1.0
Leeds,0.0,0,D,0,Everton,0.0,H,0,01/02/2003,2,0.0,E0,1.0
West Brom,0.0,2,D,1,Man City,1.0,A,1,01/02/2003,1,1.0,E0,2.0
Man United,0.0,2,A,0,Southampton,2.0,A,2,01/02/2003,0,0.0,E0,0.0
Charlton,0.0,3,A,0,Sunderland,1.0,A,3,01/02/2003,1,0.0,E0,1.0
Blackburn,0.0,0,H,2,Aston Villa,1.0,H,0,02/02/2003,3,0.0,E0,5.0
Liverpool,0.0,3,A,0,West Ham,1.0,A,2,02/02/2003,0,0.0,E0,0.0
Man United,0.0,1,D,0,Birmingham,1.0,A,0,04/02/2003,0,0.0,E0,1.0
Chelsea,0.0,3,A,0,Birmingham,1.0,A,1,08/02/2003,1,0.0,E0,4.0
Southampton,0.0,0,H,1,Blackburn,0.0,H,0,08/02/2003,1,0.0,E0,1.0
Everton,0.0,1,H,1,Charlton,0.0,H,0,08/02/2003,2,0.0,E0,1.0
Aston Villa,0.0,1,H,2,Fulham,1.0,H,1,08/02/2003,2,0.0,E0,3.0
West Ham,0.0,0,H,1,Leeds,2.0,H,0,08/02/2003,1,1.0,E0,2.0
Middlesbrough,0.0,1,A,0,Liverpool,0.0,D,1,08/02/2003,1,0.0,E0,2.0
Sunderland,0.0,1,H,2,Tottenham,0.0,H,1,08/02/2003,4,0.0,E0,2.0
Bolton,0.0,1,A,0,West Brom,2.0,D,1,08/02/2003,1,0.0,E0,4.0
Man City,0.0,1,H,1,Man United,1.0,D,0,09/02/2003,1,0.0,E0,1.0
Arsenal,1.0,1,A,0,Newcastle,2.0,D,1,09/02/2003,1,0.0,E0,2.0
West Brom,0.0,0,D,0,Fulham,1.0,H,0,19/02/2003,3,0.0,E0,2.0
Man United,0.0,1,D,0,Bolton,1.0,D,0,22/02/2003,1,0.0,E0,1.0
Aston Villa,0.0,0,D,0,Charlton,2.0,H,0,22/02/2003,3,0.0,E0,2.0
Blackburn,0.0,2,D,0,Chelsea,2.0,A,0,22/02/2003,1,0.0,E0,1.0
Southampton,0.0,1,A,0,Everton,0.0,H,1,22/02/2003,2,0.0,E0,1.0
Newcastle,0.0,3,A,0,Leeds,0.0,A,1,22/02/2003,0,0.0,E0,0.0
Arsenal,0.0,5,A,0,Man City,0.0,A,4,22/02/2003,1,0.0,E0,0.0
Middlesbrough,0.0,3,A,0,Sunderland,2.0,A,2,22/02/2003,1,0.0,E0,1.0
Liverpool,0.0,1,H,1,Birmingham,2.0,H,0,23/02/2003,2,0.0,E0,1.0
West Ham,0.0,2,A,0,West Brom,1.0,A,1,23/02/2003,1,0.0,E0,1.0
Fulham,1.0,1,D,1,Tottenham,2.0,D,1,24/02/2003,1,1.0,E0,2.0
Man City,0.0,0,H,1,Blackburn,2.0,H,0,01/03/2003,1,0.0,E0,0.0
Sunderland,0.0,0,D,0,Fulham,1.0,H,0,01/03/2003,1,0.0,E0,2.0
Everton,0.0,1,A,0,Middlesbrough,0.0,D,1,01/03/2003,1,0.0,E0,0.0
Chelsea,0.0,1,D,1,Newcastle,0.0,H,1,01/03/2003,2,0.0,E0,1.0
West Brom,0.0,0,H,1,Southampton,2.0,H,0,01/03/2003,1,0.0,E0,2.0
